experiment,parameter_1,value_1,parameter_2,value_2,total_flow,major_share,mode,replications,mean_delay,p95_delay,throughput,end_queue,max_approach_delay,delay_gini,conflict_exposures_per_1000,ambiguity_events_per_1000,pedestrian_blocks_per_1000
crossover,left_turn_share,0.1,,,1500,0.5,Signal,24,15.6145,38.834,1500.3333,0.0,16.629,0.0259,0.0,0.0,0.0
crossover,left_turn_share,0.1,,,1600,0.5,AWSC,24,21.8278,47.5546,1580.3333,12.7083,22.6574,0.0151,232.8564,0.0,0.0
crossover,left_turn_share,0.1,,,1600,0.5,Signal,24,15.8754,38.87,1586.2917,0.0,16.7603,0.0231,0.0,0.0,0.0
crossover,left_turn_share,0.1,,,1700,0.5,AWSC,24,61.7863,107.2112,1664.1667,33.25,63.0986,0.01,247.4284,0.0,0.0
crossover,left_turn_share,0.1,,,1700,0.5,Signal,24,16.4266,39.1647,1691.125,0.0,17.5999,0.0288,0.0,0.0,0.0
crossover,left_turn_share,0.1,,,1800,0.5,AWSC,24,166.3037,256.0495,1681.0,129.7917,169.4805,0.0083,247.9953,0.0,0.0
crossover,left_turn_share,0.1,,,1800,0.5,Signal,24,16.8445,39.3215,1803.5417,0.0,17.8057,0.0237,0.0,0.0,0.0
crossover,left_turn_share,0.1,,,1900,0.5,AWSC,24,282.9913,456.2056,1662.25,244.9583,287.8579,0.0067,246.3626,0.0,0.0
crossover,left_turn_share,0.1,,,1900,0.5,Signal,24,17.4232,39.6844,1898.7917,0.0,18.6502,0.0276,0.0,0.0,0.0
crossover,left_turn_share,0.1,,,2000,0.5,AWSC,24,365.926,599.5566,1646.875,347.8333,372.8553,0.0078,249.7769,0.0,0.0
crossover,left_turn_share,0.1,,,2000,0.5,Signal,24,17.6759,39.8276,1986.2917,0.0833,18.8994,0.0274,0.0,0.0,0.0
crossover,left_turn_share,0.2,,,900,0.5,AWSC,24,5.7017,11.1095,898.875,0.7917,5.8914,0.0137,148.5764,0.0,0.0
crossover,left_turn_share,0.2,,,900,0.5,Signal,24,13.9768,38.1523,897.25,0.0,14.8871,0.0252,0.0,0.0,0.0
crossover,left_turn_share,0.2,,,1000,0.5,AWSC,24,6.3687,12.9907,1006.4583,1.5,6.6123,0.0162,163.4923,0.0,0.0
crossover,left_turn_share,0.2,,,1000,0.5,Signal,24,14.1421,38.2628,1004.5417,0.0,15.3758,0.037,0.0,0.0,0.0
crossover,left_turn_share,0.2,,,1100,0.5,AWSC,24,7.0064,14.3637,1091.2917,2.1667,7.2324,0.0134,177.7643,0.0,0.0
crossover,left_turn_share,0.2,,,1100,0.5,Signal,24,14.5362,38.2716,1089.375,0.0,15.4176,0.0261,0.0,0.0,0.0
crossover,left_turn_share,0.2,,,1200,0.5,AWSC,24,7.7213,15.9688,1182.6667,2.5833,7.9707,0.0135,192.5766,0.0,0.0
crossover,left_turn_share,0.2,,,1200,0.5,Signal,24,14.7031,38.3271,1181.2083,0.0,15.7543,0.0287,0.0,0.0,0.0
crossover,left_turn_share,0.2,,,1300,0.5,AWSC,24,10.207,23.4106,1304.4583,4.2917,10.6068,0.0156,206.0732,0.0,0.0
crossover,left_turn_share,0.2,,,1300,0.5,Signal,24,15.3255,38.539,1304.5,0.0417,16.298,0.0263,0.0,0.0,0.0
crossover,left_turn_share,0.2,,,1400,0.5,AWSC,24,13.4566,31.3924,1403.6667,6.1667,14.0347,0.0164,220.2975,0.0,0.0
crossover,left_turn_share,0.2,,,1400,0.5,Signal,24,15.5049,38.7967,1404.8333,0.0833,16.348,0.0244,0.0,0.0,0.0
crossover,left_turn_share,0.2,,,1500,0.5,AWSC,24,19.2665,41.3075,1496.1667,8.4583,19.9281,0.0131,234.9438,0.0,0.0
crossover,left_turn_share,0.2,,,1500,0.5,Signal,24,15.8365,38.8311,1498.7083,0.0,17.0407,0.0286,0.0,0.0,0.0
crossover,left_turn_share,0.2,,,1600,0.5,AWSC,24,46.1474,86.7284,1578.0833,27.4583,47.1676,0.0102,241.6524,0.0,0.0
crossover,left_turn_share,0.2,,,1600,0.5,Signal,24,16.144,38.9019,1599.3333,0.0,17.2339,0.0269,0.0,0.0,0.0
crossover,left_turn_share,0.2,,,1700,0.5,AWSC,24,118.3422,196.4483,1600.0,88.3333,120.6289,0.0084,247.7168,0.0,0.0
crossover,left_turn_share,0.2,,,1700,0.5,Signal,24,16.514,39.1706,1681.875,0.0,17.516,0.0254,0.0,0.0,0.0
crossover,left_turn_share,0.2,,,1800,0.5,AWSC,24,218.3767,361.8269,1597.1667,187.75,222.3754,0.0075,246.766,0.0,0.0
crossover,left_turn_share,0.2,,,1800,0.5,Signal,24,17.194,39.587,1778.2083,0.0417,18.4108,0.028,0.0,0.0,0.0
crossover,left_turn_share,0.2,,,1900,0.5,AWSC,24,400.2942,639.36,1563.2917,351.0417,408.326,0.0083,248.0756,0.0,0.0
crossover,left_turn_share,0.2,,,1900,0.5,Signal,24,17.814,39.9468,1905.4583,0.0,19.0771,0.0269,0.0,0.0,0.0
crossover,left_turn_share,0.2,,,2000,0.5,AWSC,24,489.4071,792.6007,1540.25,448.375,498.3729,0.0067,248.1297,0.0,0.0
crossover,left_turn_share,0.2,,,2000,0.5,Signal,24,18.5946,40.6699,1978.6667,0.2917,19.6861,0.0254,0.0,0.0,0.0
crossover,left_turn_share,0.3,,,900,0.5,AWSC,24,6.16,12.4201,895.625,1.6667,6.3691,0.0132,156.2776,0.0,0.0
crossover,left_turn_share,0.3,,,900,0.5,Signal,24,14.1507,38.3045,894.5,0.0,15.3033,0.0316,0.0,0.0,0.0
crossover,left_turn_share,0.3,,,1000,0.5,AWSC,24,6.8076,14.1105,992.0,2.2917,7.0856,0.0172,165.5461,0.0,0.0
crossover,left_turn_share,0.3,,,1000,0.5,Signal,24,14.2361,38.2308,991.0,0.0,15.3177,0.0328,0.0,0.0,0.0
crossover,left_turn_share,0.3,,,1100,0.5,AWSC,24,7.97,16.5641,1102.75,2.2917,8.2997,0.0171,187.0707,0.0,0.0
crossover,left_turn_share,0.3,,,1100,0.5,Signal,24,14.891,38.5555,1101.4167,0.0,15.9189,0.0277,0.0,0.0,0.0
crossover,left_turn_share,0.3,,,1200,0.5,AWSC,24,9.5768,21.5471,1206.375,3.0833,9.9007,0.0134,199.0637,0.0,0.0
crossover,left_turn_share,0.3,,,1200,0.5,Signal,24,15.0861,38.6008,1204.7083,0.0,16.0802,0.0278,0.0,0.0,0.0
crossover,left_turn_share,0.3,,,1300,0.5,AWSC,24,11.2169,24.7988,1286.1667,3.625,11.6885,0.0163,211.8125,0.0,0.0
crossover,left_turn_share,0.3,,,1300,0.5,Signal,24,15.4662,38.7563,1285.75,0.0,16.4355,0.0265,0.0,0.0,0.0
crossover,left_turn_share,0.3,,,1400,0.5,AWSC,24,15.9393,36.8697,1393.9583,5.4167,16.5241,0.0157,225.9458,0.0,0.0
crossover,left_turn_share,0.3,,,1400,0.5,Signal,24,15.5362,38.7561,1394.4167,0.0,16.5562,0.0281,0.0,0.0,0.0
crossover,left_turn_share,0.3,,,1500,0.5,AWSC,24,36.8299,74.7192,1489.125,15.9583,38.1394,0.0146,240.2864,0.0,0.0
crossover,left_turn_share,0.3,,,1500,0.5,Signal,24,16.1958,39.0353,1499.5417,0.0,17.2003,0.0278,0.0,0.0,0.0
crossover,left_turn_share,0.3,,,1600,0.5,AWSC,24,95.6426,153.6874,1533.4167,53.2917,97.2115,0.0084,247.6512,0.0,0.0
crossover,left_turn_share,0.3,,,1600,0.5,Signal,24,16.5107,39.1896,1580.25,0.0,17.415,0.0227,0.0,0.0,0.0
crossover,left_turn_share,0.3,,,1700,0.5,AWSC,24,241.706,374.1146,1520.625,181.125,245.6902,0.0072,245.459,0.0,0.0
crossover,left_turn_share,0.3,,,1700,0.5,Signal,24,17.1273,39.3689,1694.5,0.0,18.2824,0.0263,0.0,0.0,0.0
crossover,left_turn_share,0.3,,,1800,0.5,AWSC,24,352.7565,578.992,1510.375,295.6667,359.0187,0.0077,251.8316,0.0,0.0
crossover,left_turn_share,0.3,,,1800,0.5,Signal,24,17.7165,39.8856,1798.3333,0.0,19.0208,0.0301,0.0,0.0,0.0
crossover,left_turn_share,0.3,,,1900,0.5,AWSC,24,456.6231,736.3745,1481.0,401.375,467.6248,0.0097,249.2327,0.0,0.0
crossover,left_turn_share,0.3,,,1900,0.5,Signal,24,18.274,40.2221,1874.4167,0.125,19.4298,0.0272,0.0,0.0,0.0
crossover,left_turn_share,0.3,,,2000,0.5,AWSC,24,581.475,940.3687,1453.0833,541.0417,593.3496,0.0086,247.2833,0.0,0.0
