total_flow,major_share,mode,mean_delay,ci_low,ci_high,p95_delay,throughput,end_queue,max_approach_delay,delay_gini,replications
800,0.7,AWSC,4.864,4.808,4.921,9.275,798.525,0.9,5.155,0.0196,40
800,0.7,Signal,12.608,12.428,12.789,43.379,797.625,0.0,23.404,0.241,40
1000,0.7,AWSC,5.667,5.586,5.748,11.261,1006.65,2.175,6.055,0.0212,40
1000,0.7,Signal,13.024,12.869,13.179,43.629,1006.275,0.0,23.997,0.2354,40
1200,0.7,AWSC,6.855,6.695,7.016,14.441,1207.175,2.65,7.331,0.0214,40
1200,0.7,Signal,13.527,13.385,13.669,43.855,1206.725,0.0,24.331,0.2261,40
1400,0.7,AWSC,9.524,9.157,9.89,21.399,1401.375,3.625,10.059,0.0188,40
1400,0.7,Signal,14.094,13.961,14.227,44.047,1401.775,0.0,24.977,0.2207,40
1600,0.7,AWSC,22.305,20.193,24.416,51.174,1600.45,10.875,23.145,0.0137,40
1600,0.7,Signal,14.878,14.718,15.038,45.031,1607.25,0.0,26.139,0.2167,40
1800,0.7,AWSC,157.75,141.315,174.185,245.202,1676.975,119.9,161.011,0.0086,40
1800,0.7,Signal,15.492,15.285,15.699,45.295,1791.775,0.0,26.714,0.2077,40
2000,0.7,AWSC,386.713,370.069,403.358,620.526,1639.3,358.1,393.73,0.0081,40
2000,0.7,Signal,16.627,16.443,16.811,46.549,1991.425,0.0,28.294,0.2026,40
2200,0.7,AWSC,592.447,577.826,607.068,956.7,1584.775,613.975,605.301,0.0087,40
2200,0.7,Signal,17.98,17.707,18.254,48.54,2190.1,0.0,30.452,0.1996,40
2400,0.7,AWSC,767.547,755.108,779.987,1245.189,1538.575,863.3,780.872,0.0073,40
2400,0.7,Signal,20.255,19.923,20.587,52.43,2390.825,0.15,34.733,0.1993,40
2600,0.7,AWSC,906.973,895.309,918.637,1481.926,1489.725,1107.125,923.86,0.0077,40
2600,0.7,Signal,24.882,24.336,25.429,66.362,2579.625,0.75,45.304,0.218,40
200,0.8,AWSC,3.838,3.806,3.869,5.794,200.85,0.275,4.029,0.0177,40
200,0.8,Signal,9.084,8.832,9.337,40.748,200.825,0.0,27.85,0.3604,40
400,0.8,AWSC,4.043,4.011,4.075,6.836,394.775,0.35,4.327,0.0214,40
400,0.8,Signal,9.531,9.346,9.717,42.376,394.55,0.0,27.803,0.3462,40
600,0.8,AWSC,4.336,4.302,4.37,7.818,601.775,0.825,4.705,0.0249,40
600,0.8,Signal,9.811,9.608,10.014,42.174,601.725,0.0,27.863,0.338,40
800,0.8,AWSC,4.767,4.705,4.83,9.177,804.825,1.0,5.221,0.0264,40
800,0.8,Signal,10.129,9.964,10.293,42.796,804.875,0.0,28.235,0.333,40
